Pais|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|
|---|---|---|---|---|---|---|---|---|---|---|
Afeganistao|3.245.994|35.304.132|35.679.823|34.824.322|34.054.003|33.452.192|33.163.941|32.251.774|3.237.301|30.379.512|3.052.391|
Alemanha|379.792.065|381.429.083|38.167.454|388.018.225|393.149.905|401.256.679|409.673.857|412.889.633|41.086.867|39.088.444|408.149.539|
Argentina|210.925.842|208.857.454|217.278.204|208.192.652|211.495.907|203.098.258|206.427.788|196.090.941|188.256.347|16.552.037|175.300.482|
Australia|394.156.569|39.575.734|401.575.205|398.750.624|390.458.927|396.402.128|398.856.421|404.038.076|401.858.283|401.715.314|417.163.539|
Bahamas|374.247.544|379.738.953|354.382.571|347.442.464|347.613.984|339.807.055|343.357.335|337.921.256|332.474.111|295.020.954|298.036.388|
Brazil|162.161.901|163.291.642|167.476.011|164.335.812|155.245.964|147.451.231|147.812.749|147.202.528|147.023.052|138.935.067|14.286.913|
Canada|377.982.097|384.515.614|388.955.232|394.881.882|389.389.646|38.868.611|398.845.315|403.551.667|402.355.835|373.454.165|391.889.317|
Chile|21223192|224716515|229775699|231852985|234408019|233018918|227540604|231630523|228066867|209957774|22248656|
Colombia|12829955|131269786|136188936|139542744|143738323|144086409|141228157|140509108|141922943|128582206|134078311|
Egito|126052554|127551547|127318797|128571924|132327643|135306107|13638734|138901067|142482758|145139704|145339814|
Haiti|43190273|42954508|43296638|43239754|4324927|43227216|43304755|4270195|40866515|38636334|38277663|
Irlanda|368504602|371128163|356080001|381518016|383959347|393643173|41271596|431393153|418001543|519687668|539527835|
Israel|360999196|358868218|377243467|391411907|392315898|403642181|419358632|428479491|434778676|428314449|443438283|
Italia|318500048|303974874|296016067|296027931|295015149|301857631|307461908|312009182|310138932|279325115|295336565|
Jamaica|101716221|10195579|100424303|99827289|97751653|96431724|97525842|96766948|96076115|86534684|870591|
Mexico|188114633|190983599|188499567|19155549|191935971|191590965|191185803|190006093|185353674|166729583|175355201|
Peru|112938366|119204051|125031936|126814957|129225161|128790427|126462263|128024468|126875145|109421776|118260595|
Espanha|287358021|279808356|27799424|284000797|298485687|307892689|316298597|323903164|326686833|287831116|310728923|
Estados Unidos|486860073|498004237|50131787|512363313|526122186|523207019|531028251|539224341|544221975|518867533|554385355|
Emirados Arabes|512538872|525280886|553758349|576632751|599151567|614718352|624735531|621507696|622875259|573219984|58827414|
