Pais,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afeganistao,3245994,35304132,35679823,34824322,34054003,33452192,33163941,32251774,3237301,30379512,3052391
Alemanha,379792065,381429083,38167454,388018225,393149905,401256679,409673857,412889633,41086867,39088444,408149539
Argentina,210925842,208857454,217278204,208192652,211495907,203098258,206427788,196090941,188256347,16552037,175300482
Australia,394156569,39575734,401575205,398750624,390458927,396402128,398856421,404038076,401858283,401715314,417163539
Bahamas,374247544,379738953,354382571,347442464,347613984,339807055,343357335,337921256,332474111,295020954,298036388
Brazil,162161901,163291642,167476011,164335812,155245964,147451231,147812749,147202528,147023052,138935067,14286913
Canada,377982097,384515614,388955232,394881882,389389646,38868611,398845315,403551667,402355835,373454165,391889317
Chile,21223192,224716515,229775699,231852985,234408019,233018918,227540604,231630523,228066867,209957774,22248656
Colombia,12829955,131269786,136188936,139542744,143738323,144086409,141228157,140509108,141922943,128582206,134078311
Egito,126052554,127551547,127318797,128571924,132327643,135306107,13638734,138901067,142482758,145139704,145339814
Haiti,43190273,42954508,43296638,43239754,4324927,43227216,43304755,4270195,40866515,38636334,38277663
Irlanda,368504602,371128163,356080001,381518016,383959347,393643173,41271596,431393153,418001543,519687668,539527835
Israel,360999196,358868218,377243467,391411907,392315898,403642181,419358632,428479491,434778676,428314449,443438283
Italia,318500048,303974874,296016067,296027931,295015149,301857631,307461908,312009182,310138932,279325115,295336565
Jamaica,101716221,10195579,100424303,99827289,97751653,96431724,97525842,96766948,96076115,86534684,870591
Mexico,188114633,190983599,188499567,19155549,191935971,191590965,191185803,190006093,185353674,166729583,175355201
Peru,112938366,119204051,125031936,126814957,129225161,128790427,126462263,128024468,126875145,109421776,118260595
Espanha,287358021,279808356,27799424,284000797,298485687,307892689,316298597,323903164,326686833,287831116,310728923
Estados Unidos,486860073,498004237,50131787,512363313,526122186,523207019,531028251,539224341,544221975,518867533,554385355
Emirados Arabes,512538872,525280886,553758349,576632751,599151567,614718352,624735531,621507696,622875259,573219984,58827414
